issue_type,severity,Reduced Composition,IDs,details
same_formula_multiple_records,resolved,Li10Ge(PS6)2,caltech_icsd_30161|caltech_icsd_131108|liverpool_37_0028|liverpool_675_0561,4 records; log10 span=0.772; kept liverpool_675_0561
same_formula_multiple_records,resolved,Li10Sn(PS6)2,9lx|13q|kko|trv1_0012,4 records; log10 span=0.265; kept 9lx
conflicting_normalized_family,resolved_by_preferred_family,Li10Sn(PS6)2,9lx|13q|kko|trv1_0012,lgps|sulfides; selected_family=lgps
same_formula_multiple_records,resolved,Li10Sn0.33Ge0.66P2S12,kop|caltech_icsd_30165,2 records; log10 span=0.000; kept kop
same_formula_multiple_records,resolved,Li10Sn0.66Ge0.33P2S12,rty|caltech_icsd_30169,2 records; log10 span=0.000; kept rty
same_formula_multiple_records,resolved,Li2.25Zr0.75Fe0.25Cl6,v46|trv1_0139,2 records; log10 span=0.093; kept trv1_0139
same_formula_multiple_records,resolved,Li2.4Er0.4Zr0.6Cl6,er7|v27,2 records; log10 span=0.210; kept v27
same_formula_multiple_records,resolved,Li2.4Y0.4Zr0.6Cl6,yz6|trv1_0051,2 records; log10 span=0.334; kept trv1_0051
same_formula_multiple_records,resolved,Li2.5Y0.5Zr0.5Cl6,n7a|v10,2 records; log10 span=0.176; kept v10
same_formula_multiple_records,resolved,Li2.5Zr0.5In0.5Cl6,v15|ensm_2025_104655_x05|caltech_icsd_122400,3 records; log10 span=0.310; kept v15
same_formula_multiple_records,resolved,Li2.6Zr0.4In0.6Cl6,ensm_2025_104655_x04|caltech_icsd_122399,2 records; log10 span=0.119; kept caltech_icsd_122399
same_formula_multiple_records,resolved,Li2.7Zr0.3In0.7Cl6,v11|ensm_2025_104655_q03,2 records; log10 span=0.306; kept ensm_2025_104655_q03
same_formula_multiple_records,resolved,Li2.8Zr0.2In0.8Cl6,ensm_2025_104655_x02|acsnano_4c02678_zr,2 records; log10 span=0.225; kept acsnano_4c02678_zr
