ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,removed_reason
liverpool_2023_0812,Li2Mg2(MoO4)3,,Li2 Mg2 Mo3 O12,5.35e-12,,,,,,,,,,,Lysonite,10.1039/b301189e,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=2023; measured_temperature_C=25; chemical_family=Oxides,,,,,,duplicate DOI+formula; kept b56 from v1
liverpool_2024_0813,Li3Fe(MoO4)3,,Li3 Fe1 Mo3 O12,5.89e-10,,,,,,,,,,,Lysonite,10.1039/b301189e,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=2024; measured_temperature_C=25; chemical_family=Oxides,,,,,,duplicate DOI+formula; kept mfu from v1
liverpool_2025_0814,Li6FeCl8,,Li6 Fe1 Cl8,8.97e-08,,,,,,,,,,,Rocksalt,10.1002/zaac.19875531020,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=2025; measured_temperature_C=25; chemical_family=Halides,,,,,,duplicate DOI+formula; kept caltech_icsd_73217 from caltech
liverpool_2026_0815,Li4.8Al0.8Si0.2S4,,Li4.8 Al0.8 Si0.2 S4,1.07e-06,,,,,,,,,,,Thio-LISICON,10.1006/jssc.2002.9701,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=2026; measured_temperature_C=25; chemical_family=Sulphides,,,,,,duplicate DOI+formula; kept h8o from v1
liverpool_2028_0817,Li3.35Ge0.35P0.65S4,,Li3.35 Ge0.35 P0.65 S4,0.001830655,,,,,,,,,,,Thio-LISICON,10.1149/1.1379028,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=2028; measured_temperature_C=25; chemical_family=Sulphides,,,,,,duplicate DOI+formula; kept 2yl from v1
liverpool_2030_0819,Li6CoCl8,,Li6 Co1 Cl8,1.51e-06,,,,,,,,,,,Rocksalt,10.1002/zaac.19875531020,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=2030; measured_temperature_C=25; chemical_family=Halides,,,,,,duplicate DOI+formula; kept caltech_icsd_202401 from caltech
bsa,LiGaO2,,Li1 Ga1 O2,2.4e-14,,,,,,,,,,,oxides,10.1007/bf00549810,1,data/database/obelix/processed/all-v1.csv,,,,check cif file matching; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1984,,,,,,conflicting formula: log10 conductivity span 6.319 > 1; kept highest conductivity row caltech_icsd_14987
ur9,LiZr2(PO4)3,,Li1 Zr2 P3 O12,1e-09,,,,,,,,,,,NASICON,10.1016/0025-5408(86)90194-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,,conflicting formula: log10 conductivity span 3.519 > 1; kept highest conductivity row liverpool_387_0317
wng,Li1.2Hf1.8In0.2P3O12,,Li1.2 Hf1.8 In0.2 P3 O12,4e-06,,,,,,,,,,,NASICON,10.1016/0167-2738(86)90179-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,,conflicting formula: log10 conductivity span 1.519 > 1; kept highest conductivity row liverpool_364_0294
a3l,LiHf2(PO4)3,,Li1 Hf2 P3 O12,2.83e-07,,,,,,,,,,,NASICON,10.1002/chin.199345017,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,,conflicting formula: log10 conductivity span 1.128 > 1; kept highest conductivity row liverpool_388_0318
ncr,LiHf2(PO4)3,,Li1 Hf2 P3 O12,6.85e-07,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,,conflicting formula: log10 conductivity span 1.128 > 1; kept highest conductivity row liverpool_388_0318
u5t,Li1.5Al0.5Ge1.5P3O12,,Li1.5 Al0.5 Ge1.5 P3 O12,0.00028,,,,,,,,,,,NASICON,10.1016/s0955-2219(99)00055-2,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1999,,,,,,conflicting formula: log10 conductivity span 1.521 > 1; kept highest conductivity row liverpool_892_0750
s3h,Li0.5La0.5Ti1O3,,Li0.5 La0.5 Ti1 O3,0.000925,,,,,,,,,,,perovskites,10.1016/s0167-2738(00)00761-x,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2000,,,,,,conflicting formula: log10 conductivity span 2.237 > 1; kept highest conductivity row caltech_icsd_165472
7se,Li3.8Si0.8P0.2S4,,Li3.8 Si0.8 P0.2 S4,8.11e-07,,,,,,,,,,,thio-LISICON,10.1006/jssc.2002.9701,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,,conflicting formula: log10 conductivity span 1.806 > 1; kept highest conductivity row caltech_icsd_14937
1e9,Li3SbS3,,Li3 Sb1 S3,1e-09,,,,,,,,,,,sulfides,10.1002/zaac.201200277,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2012,,,,,,conflicting formula: log10 conductivity span 2.000 > 1; kept highest conductivity row caltech_icsd_424834
kkn,Li6Br3N,,Li6 Br3 N1,1e-08,,,,,,,,,,,halides,10.1016/j.jallcom.2015.01.082,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1016/s0925-8388(97)00158-8; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,,conflicting formula: log10 conductivity span 1.491 > 1; kept highest conductivity row liverpool_703_0586
vg0,Li1.5Al0.5Ge1.5P3O12,,Li1.5 Al0.5 Ge1.5 P3 O12,0.00019,,,,,,,,,,,NASICON,10.1016/j.jeurceramsoc.2014.11.023,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1016/j.jallcom.2020.155878; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,,conflicting formula: log10 conductivity span 1.521 > 1; kept highest conductivity row liverpool_892_0750
h6c,Li3VO4,,Li3 V1 O4,9.2e-14,,,,,,,,,,,LISICON,10.1021/acs.chemmater.8b01504,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1016/s0022-4596(73)80012-x; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,,conflicting formula: log10 conductivity span 11.582 > 1; kept highest conductivity row liverpool_716_0598
dth,Li4GeO4,,Li4 Ge1 O4,1.3e-12,,,,,,,,,,,LISICON,10.1021/acs.chemmater.8b01504,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19875551213; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,,conflicting formula: log10 conductivity span 6.301 > 1; kept highest conductivity row caltech_icsd_112252
