trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda
26,COMPLETE,0.5051636861967104,26.254398,1200,8,0.018313672337841393,1.4333972590345039,0.9549529805588375,0.7174112388506944,1.2607154633138604e-07,4.635039094724509e-05,2.518253980966615
27,PRUNED,0.4154982933364899,12.215096,1200,10,0.03372059068763727,0.7767332874383682,0.9621814861575739,0.7202432327296192,1.0027376546890318e-07,0.016830840702357294,11.883495285382155
28,PRUNED,0.4254962818363569,18.531458,1300,9,0.010039784019406516,1.416153257611951,0.9348496458475547,0.8836038922221591,0.003670939729012763,5.1128786911285e-07,3.2943165271876382
29,PRUNED,0.4479861711865822,10.676136,1200,10,0.020113852074297403,5.096770115956687,0.9965536631885011,0.8140249507425983,1.1745483180433242e-08,2.4613767173662037e-05,0.3888946850760898
30,PRUNED,0.41376256299084857,16.007275,1400,7,0.014238021165907265,1.070766459683899,0.9678381778758314,0.9325832222578339,4.177189836266405e-08,0.0005842704883300701,0.916794081357094
31,PRUNED,0.4802255067786367,16.489838,1100,8,0.019829232577342582,2.255353793609475,0.8885375646759676,0.7769579062245248,4.781568609827242e-07,3.894400927206558e-05,1.288484408589614
32,PRUNED,0.4701361833212963,34.45019,1100,8,0.01730426432468449,1.5705548699947143,0.9442056138106348,0.6095521688236006,1.7865520608135176e-07,4.35173553846924e-06,2.679990825575855
33,PRUNED,0.4369732072154987,10.34586,1300,9,0.1426836066313678,3.0852457451924353,0.8913622580033563,0.7222727446462935,1.0904824707857026e-06,0.0004699838027891349,0.2066679805295619
34,PRUNED,0.4124690290338696,24.086584,900,8,0.013883362737217521,1.092750192580397,0.9745757813224041,0.954973097660277,4.3617156886954135e-06,7.635122607921496e-05,0.5479272800309333
35,COMPLETE,0.5002932188804186,31.066479,1400,7,0.04869145278092905,1.9546879448356926,0.9281604793888746,0.6986135627385289,3.7754287237598423e-08,0.015171093494834439,5.149472153496113
36,PRUNED,0.41554770108214856,12.636302,1000,10,0.057301244132279903,0.8245918568836411,0.959670509925831,0.8963597859197278,5.25415041977399e-07,1.330105587644567e-06,10.327507507286722
37,PRUNED,0.47285980155231006,8.856466,1100,6,0.03456992310829078,4.102450545616937,0.8313130648732513,0.7727310041305908,2.778495435313037e-05,1.2612256709615817e-05,2.015909110674285
38,PRUNED,0.4218589084842458,2.39985,800,9,0.07914990139458604,5.890595571678119,0.9970869777533645,0.8603427786119865,0.14386072986491522,3.1691861082790986e-05,3.8880195723655016
39,PRUNED,0.40024266237879036,5.922368,700,8,0.010144409516860096,2.30269315898459,0.9158863448843249,0.5942094226031378,3.419737296884185e-08,0.0006291447366140972,0.30771423206128834
40,PRUNED,0.423529919749861,9.46563,1200,4,0.012188353146381548,0.6940329290920653,0.7165305107093294,0.6389357165196756,1.7311262298760524e-07,5.3239573039646596e-06,0.11419121049986468
41,COMPLETE,0.4925738724575674,29.942077,1400,7,0.04557788587003121,1.7903097797176764,0.930039721063637,0.7074289070510332,3.4164706088309135e-08,0.16714224462385774,3.998785749724294
42,COMPLETE,0.49932072211244083,25.262632,1300,7,0.05332157843195056,1.3521780608767968,0.9442323678269362,0.6845035808650697,1.1552646948641205e-08,0.010260359288722303,6.599683518739287
43,PRUNED,0.42341673253419687,7.868315,1400,8,0.12448775325367406,2.641504769465778,0.8834063075700739,0.6981464485491203,5.2608822469153796e-08,0.05224137510347353,1.1095706047679699
44,PRUNED,0.4102013487794399,14.099437,1300,6,0.03744843845571088,0.9220934614104183,0.9858199173960697,0.736097816735436,8.451077705324237e-07,0.0002900813074581903,14.991095303178367
45,PRUNED,0.48062388812190365,15.568203,1400,7,0.07348736891362669,2.0793943373321047,0.9270431242806734,0.6459035591898032,2.1965460713445438e-07,0.289701790454238,5.88262660699663
46,PRUNED,0.43764869112792393,9.488131,1200,9,0.048615003969596365,1.5981826286421341,0.9760786666077249,0.5686017658971844,2.5582642869624056e-06,8.216122200726319e-05,7.958482223348569
47,PRUNED,0.27963701874854074,3.513979,1400,8,0.024257138612681944,19.78630011666696,0.8233937208168189,0.7589554577169382,9.717452984595005e-08,0.024716554645642094,2.321470620487994
48,PRUNED,0.481536883720914,16.996633,900,7,0.017454132817817873,1.2441181996774555,0.7679994708177028,0.8231058475826527,2.5492909199525628e-08,0.005536012390493956,0.5858850162214817
49,PRUNED,0.4748389835816192,4.998129,600,4,0.0934064805954196,3.366448379617284,0.952508226169844,0.8604535136783513,1.6540020833508147e-05,0.0010311947455201224,4.963708925455662
