ID,True Composition,reference_mS_cm,base_formula,Family,source_row
exp_097,Li9.54Si1.74P1.44S10.8Br0.3O0.9,6.7,Li9.54Si1.74P1.44S11.7Br0.3,lgps,97
exp_098,Li9.54(Si0.9Ge0.1)1.74P1.44S11.1Br0.3O0.6,12.3,Li9.54Si1.74P1.44S11.7Br0.3,lgps,98
exp_099,Li9.54(Si0.8Ge0.2)1.74P1.44S11.1Br0.3O0.6,11.3,Li9.54Si1.74P1.44S11.7Br0.3,lgps,99
exp_100,Li9.54(Si0.7Ge0.3)1.74P1.44S11.1Br0.3O0.6,13.5,Li9.54Si1.74P1.44S11.7Br0.3,lgps,100
exp_101,Li9.54(Si0.6Ge0.4)1.74P1.44S11.1Br0.3O0.6,13.6,Li9.54Si1.74P1.44S11.7Br0.3,lgps,101
exp_102,Li9.54(Si0.5Ge0.5)1.74P1.44S11.1Br0.3O0.6,13.8,Li9.54Si1.74P1.44S11.7Br0.3,lgps,102
exp_103,Li9.54(Si0.4Ge0.6)1.74P1.44S11.1Br0.3O0.6,12.7,Li9.54Si1.74P1.44S11.7Br0.3,lgps,103
exp_104,Li9.54(Si0.3Ge0.7)1.74P1.44S11.1Br0.3O0.6,11.1,Li9.54Si1.74P1.44S11.7Br0.3,lgps,104
exp_105,Li9.54(Si0.2Ge0.8)1.74P1.44S11.1Br0.3O0.6,7.9,Li9.54Si1.74P1.44S11.7Br0.3,lgps,105
exp_106,Li9.54(Si0.1Ge0.9)1.74P1.44S11.1Br0.3O0.6,5.4,Li9.54Si1.74P1.44S11.7Br0.3,lgps,106
exp_107,Li9.54Ge1.74P1.44S11.1Br0.3O0.6,4.1,Li9.54Si1.74P1.44S11.7Br0.3,lgps,107
exp_108,Li9.54(Si0.9Sn0.1)1.74P1.44S11.1Br0.3O0.6,11.5,Li9.54Si1.74P1.44S11.7Br0.3,lgps,108
exp_109,Li9.54(Si0.8Sn0.2)1.74P1.44S11.1Br0.3O0.6,8.8,Li9.54Si1.74P1.44S11.7Br0.3,lgps,109
exp_110,Li9.54(Si0.7Sn0.3)1.74P1.44S11.1Br0.3O0.6,7.7,Li9.54Si1.74P1.44S11.7Br0.3,lgps,110
exp_111,Li9.54(Si0.6Sn0.4)1.74P1.44S11.1Br0.3O0.6,6.7,Li9.54Si1.74P1.44S11.7Br0.3,lgps,111
exp_112,Li9.54(Si0.5Sn0.5)1.74P1.44S11.1Br0.3O0.6,4.9,Li9.54Si1.74P1.44S11.7Br0.3,lgps,112
exp_113,Li9.54(Si0.4Sn0.6)1.74P1.44S11.1Br0.3O0.6,4.5,Li9.54Si1.74P1.44S11.7Br0.3,lgps,113
