trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda
36,COMPLETE,0.5680140608905576,0.753928,600,3,0.12610482024260514,1.8410395687825252,0.6812436503070265,0.7344928665017609,4.943992384059384e-06,6.78945258289648e-07,0.21869944639191607
37,COMPLETE,0.5691509177629945,0.643984,600,3,0.13036026122376862,2.7458611902130627,0.6674449868811821,0.7030178723759679,8.691804015917996e-08,1.3195549763301569e-05,0.5826359360522992
38,COMPLETE,0.5396058924775526,0.417158,500,3,0.11311291572599352,3.3650196561696863,0.6586893259128098,0.5915067101225144,0.27234342390828314,1.1545168514394987e-06,0.163992416757521
39,COMPLETE,0.5577965208003358,0.700525,600,3,0.07838346366118783,4.416898741589361,0.6862722415067226,0.7403363054258392,3.478731207693801e-05,0.0001715683304226798,0.06609227563368654
40,COMPLETE,0.5378159726664488,0.635243,500,3,0.1484745325530142,1.3398913279960878,0.6544795319398836,0.7721509964445855,0.011822837802341385,2.2874520242975125e-05,0.2972803164040766
41,COMPLETE,0.5915962119646248,0.681309,500,3,0.05994496529595156,1.8387061757432772,0.6854028871436806,0.6943297315368847,3.709344972118278e-05,2.7260027643730194e-06,0.011531840589990171
42,COMPLETE,0.5625737133550982,0.687054,500,3,0.06350016279797557,1.8098923391428865,0.6890412453933997,0.6443103207845571,5.865837618084906e-06,3.0952978086473597e-06,0.02768481675853429
43,COMPLETE,0.5645607674825073,0.703078,600,3,0.10628546097065637,2.7468106785883055,0.6764076151944725,0.701637156137262,3.52618339840245e-05,2.579708256605169e-07,0.7009896134602683
44,COMPLETE,0.6166866978802135,0.71582,500,3,0.1287017045413488,0.9539544171539189,0.6404219262269413,0.6090243125017198,0.00025077352196339723,1.0292502153854813e-06,0.08977662807585203
45,COMPLETE,0.6017082964668811,0.725846,500,3,0.1314194284703122,0.9476065968895477,0.6348370413096773,0.6153852189402571,0.00023375385793826544,1.5450244271507006e-08,0.015005103405030045
46,COMPLETE,0.5929056030283362,0.67822,500,4,0.13528918433152579,1.2359920661037391,0.6352670629327838,0.570219304892567,0.0013460119295318033,1.1434087886740657e-08,0.014123662607427935
47,COMPLETE,0.5729988705935314,0.683879,500,4,0.13378039070335743,1.028645723219526,0.62365732077394,0.5578290728898256,0.0015984722577317896,1.0870559154670043e-08,0.012691673566587222
48,COMPLETE,0.5638054115264481,0.741214,500,5,0.14919097036831827,0.9886150933283575,0.6049072314263199,0.5144130832407274,0.00031172952487987216,1.1354028761232149e-08,0.021119958380218157
49,COMPLETE,0.5935970715696527,0.801109,500,3,0.1041245093909984,0.9230849296853596,0.6367423092367979,0.5902337384188514,0.0011671819793810144,4.784603975771031e-08,0.0027959753754264152
