trial,state,value,duration_seconds,param_max_features_kind,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1,param_max_features_float
32,COMPLETE,0.5549556507193343,46.499149,float,700,15.0,8,1,0.2800201949726356,0.07361528990129372,"[0.6005081900606904, 0.6419567557551743, 0.5597656408278359, 0.5494968845494544, 0.42305078240351657]",0.364169308824705
33,PRUNED,0.6042031216427457,19.429864,float,600,15.0,7,2,,,,0.4678800032395889
34,COMPLETE,0.550917052866742,54.592268,float,700,30.0,8,1,0.28024529910913,0.0786734296217552,"[0.6109971724846759, 0.6419479738640825, 0.5527174392740025, 0.5351123889880552, 0.41381028972289363]",0.3830301186730791
35,PRUNED,0.5937217294367647,16.453986,float,700,8.0,11,2,,,,0.5390842431717736
36,PRUNED,0.6066308180180111,18.255904,float,600,,15,5,,,,0.45364516993585047
37,PRUNED,0.580302659916553,7.152547,sqrt,700,15.0,12,8,,,,
38,PRUNED,0.5887208283343255,11.74634,float,600,10.0,10,4,,,,0.36930699016986723
39,PRUNED,0.5871274957737571,3.589636,log2,400,30.0,5,7,,,,
40,PRUNED,0.5747459041862588,6.236765,sqrt,500,15.0,8,3,,,,
41,COMPLETE,0.5509710610180496,54.897589,float,700,30.0,8,1,0.28024529910913,0.07857932571836282,"[0.6109971724846759, 0.6419479738640825, 0.5527174392740025, 0.5351123889880552, 0.41408033047943177]",0.3782045826816413
42,PRUNED,0.6036774255372852,22.519218,float,700,30.0,7,1,,,,0.4166172265838058
43,PRUNED,0.6002090251220202,5.914434,float,200,30.0,6,2,,,,0.3599654187747908
44,PRUNED,0.5653857660443922,9.360246,float,700,6.0,9,1,,,,0.34668595223562604
45,PRUNED,0.6083199948076978,15.693587,float,700,30.0,15,2,,,,0.30392354490259144
46,PRUNED,0.6041974909367813,17.531979,float,700,15.0,10,10,,,,0.44152470735953553
47,PRUNED,0.5906231433554512,12.328201,float,600,10.0,5,1,,,,0.3557961525636366
48,PRUNED,0.5745339073117447,7.984028,sqrt,700,15.0,8,2,,,,
49,COMPLETE,0.5454560405485754,45.515434,float,600,30.0,12,1,0.2756444866207023,0.09427202242325879,"[0.5863220556554428, 0.6557353721286727, 0.5517129923449586, 0.5620901357464226, 0.3714196468673802]",0.401007711415185
