trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
14,COMPLETE,0.5612728588764504,40.423704,-1,500,0.018702801490874006,46,35,0.7947057925965981,0.8961225555663631,3.9794797075090296e-05,0.0038036649196400763,0.288885573030297,0.05096220883972248,"[0.5780236228307436, 0.6289261414084801, 0.5623529637575131, 0.5658237119699604, 0.4712378544155545]"
15,PRUNED,0.5652792038003259,3.250316,5,300,0.034529875290374545,20,15,0.9382613855858299,0.9897127958863723,1.8804343456734505e-07,0.047835927287043715,,,
16,COMPLETE,0.569610110729811,22.545638,-1,500,0.07380656081669908,62,23,0.891575694009959,0.8230562608986747,6.738672532809264e-07,0.5976980736584748,0.29582749954735266,0.03219053493173418,"[0.5778463363159018, 0.6179433953548371, 0.5693542541288529, 0.565861598362076, 0.5170449694873877]"
17,PRUNED,0.576739452222277,1.215653,3,200,0.020042140651481702,7,5,0.9996413999447573,0.9276580234903059,0.003679666865077948,0.006326338991211545,,,
18,PRUNED,0.5813284532610825,5.776256,10,300,0.04545507916320893,49,29,0.73964158693172,0.696736922477072,2.2326155985653523e-08,0.061332484377089186,,,
19,PRUNED,0.5824372330116905,3.952474,5,400,0.015637515431787433,12,21,0.9304772478243447,0.8241582092263809,5.799449092292779e-05,2.1658381883827102,,,
20,PRUNED,0.5820953621224532,2.836439,3,500,0.1484745325530142,7,11,0.8559370287924123,0.9504657574985589,2.256757200682072e-07,0.010824549520912689,,,
21,COMPLETE,0.56890326762987,29.685899,-1,400,0.03231238351094454,63,16,0.9621230038284786,0.8854927602247973,1.977327705571141e-06,0.004101613650168642,0.2912574092221683,0.045426672448391964,"[0.5750791640951401, 0.6429766227812945, 0.5681970252683434, 0.5576700291476874, 0.5005934968568843]"
22,COMPLETE,0.5704198629237013,29.236715,-1,400,0.02817792373026328,56,12,0.9943797535833628,0.9292135805137245,1.3093525175076857e-08,0.0012734038226622738,0.2920469414688997,0.0577293046954773,"[0.5634963925291397, 0.664929556518372, 0.5756785334479658, 0.5648973287535087, 0.48309750336952034]"
23,COMPLETE,0.5636729335968074,26.650803,-1,400,0.025377810667073075,56,11,0.9995378603208285,0.855076653077325,1.0972718242006546e-08,0.001292861596731275,0.2887875712262314,0.05067912683098716,"[0.5832679908493589, 0.6313633890463745, 0.5625319356761432, 0.5662305176715877, 0.4749708347405724]"
24,COMPLETE,0.574420079264027,17.296731,-1,300,0.039076075811374976,40,10,0.9056155944672027,0.9583623711077919,9.351032902476766e-08,0.0027138353952491988,0.29060679284087393,0.050969464831080113,"[0.5885544742514133, 0.6366494319753991, 0.5763250758729702, 0.5893714311298539, 0.4811999830904985]"
25,COMPLETE,0.5704693623889103,18.929168,-1,300,0.04114669967614221,39,8,0.9139349655025415,0.9931520905136468,1.4178383324609216e-07,0.003281095710832578,0.2892405736240302,0.051652603210975645,"[0.5836212336905003, 0.6413425692415659, 0.5780768372884847, 0.5687429818706744, 0.48056318985332647]"
26,PRUNED,0.584378142105162,4.671467,-1,200,0.03839000666283855,42,20,0.8980440677483419,0.9717961754249552,1.0098079170925913e-07,0.0026897335153468747,,,
27,PRUNED,0.5711874121420961,5.26528,-1,300,0.06643513892239139,35,27,0.8272801779130838,0.9592721791689148,1.0528505593429124e-05,0.0221126275451476,,,
28,PRUNED,0.5982583007586897,5.942146,-1,300,0.0410774492969824,41,40,0.9492727675734021,0.9984456812357339,9.14196652346585e-08,0.002548002897872164,,,
29,PRUNED,0.5758150018522995,3.743078,-1,200,0.05676913461068035,37,8,0.7544829492483698,0.7912493416550591,4.97462681184356e-07,0.010655650831937119,,,
30,COMPLETE,0.5625245389726535,13.303887,-1,300,0.01581528253922392,30,14,0.9089629910689462,0.9013080287604116,6.369997077759762e-08,0.03967913205073904,0.2885850835893422,0.05694160929759819,"[0.5584144475040903, 0.6521987982853287, 0.5664524547289026, 0.5632401495626446, 0.4723168447823016]"
31,PRUNED,0.5934496713177363,1.681814,3,300,0.05428416953751136,7,9,0.8725105849466489,0.923431240249705,0.003919837864507243,0.00842966548970004,,,
32,PRUNED,0.5949977251647963,3.119185,10,200,0.03883541808053659,28,5,0.9659195003145066,0.8611472869134347,4.6183064713965765e-07,0.0026958764260021383,,,
