trial,state,mae_mean,mae_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_max_depth
46,PRUNED,0.6118801009670216,,1500,0.016071680018280608,31,16,0.6672695010600631,0.9152815752879401,21.792654518864197,1.554457146533364e-05,5
47,PRUNED,0.6863159282789885,,1600,0.011463229811429089,34,41,0.5654107469618358,0.9585670603346316,0.03999729663617161,0.00041390823923182206,7
48,PRUNED,0.6131223509843977,,1300,0.026548479823726632,43,11,0.53022890842028,0.8951958881240086,0.32757169489591076,0.0023974703889330694,8
49,PRUNED,0.6616848149879633,,700,0.009264377233222236,26,49,0.9480450770644245,0.9315485459862959,4.862173708943979,4.34156804088747e-05,10
50,PRUNED,0.6043027248829128,,1000,0.006481487608406174,47,17,0.6247421204631451,0.8647051393397452,2.5449350664059844,9.728365586389208e-06,8
51,COMPLETE,0.4978152740519775,0.05936467400605574,500,0.015608141535676094,39,9,0.7205814762119102,0.48747408399052083,0.0145657875102097,0.0002702468050532595,8
52,PRUNED,0.5908110114794719,,600,0.0182114776149239,58,12,0.7826529282417977,0.9814013578249274,1.0251315408794932,5.344700583289228e-05,8
53,PRUNED,0.5294060454427184,,700,0.013614334048026118,7,5,0.8574932364411595,0.9651985795948214,0.0772758716212578,0.000778237918342171,3
54,COMPLETE,0.4856042637878516,0.059967430330355176,900,0.020521236671108552,48,10,0.7739459011742981,0.9965649489434272,0.7104123211335047,1.9434689698892487e-05,6
55,PRUNED,0.57647297387922,,1100,0.020287457077066,49,7,0.677019313429439,0.9989073982047926,0.7055983396306654,2.2435466906127637e-07,6
56,PRUNED,0.5886872455777066,,900,0.029679511459409152,52,13,0.5812775259647038,0.9274407914516184,1.4641046703968494,1.3362667782914077e-06,6
57,PRUNED,0.6194811072351281,,1300,0.03334053483151946,44,21,0.7725962642567684,0.9089651805816903,0.2095708957105528,2.086361884840665e-05,6
58,PRUNED,0.5661728902355166,,1000,0.016738878946351395,41,10,0.5193669562835014,0.9705129109538173,0.39206393578633947,0.0001460917867319874,6
59,PRUNED,0.5767262755139336,,800,0.09979475765545714,31,7,0.5525032234613971,0.9444108233862676,9.112341931703966,0.0020360306957804756,5
60,PRUNED,0.5837484705117193,,1200,0.024668538400424798,48,9,0.7131420398595202,0.8805891108864133,2.9529650946377664,4.6960087812973e-06,10
61,COMPLETE,0.49181483838473417,0.06578018210328025,600,0.014333188273880422,37,10,0.7740451250006126,0.9770735603622851,0.746596178455414,1.5570404980039045e-05,8
62,PRUNED,0.593172943728964,,700,0.017616261808022674,40,5,0.8290283485692328,0.9775230607870309,1.1575407129153816,0.0005091151867750902,8
63,PRUNED,0.5591681540541129,,1900,0.011432919275841563,34,12,0.7293594174739454,0.9405739429962194,0.5324100242654363,0.0001011494043846173,8
64,PRUNED,0.578391480977242,,800,0.021009013808713672,15,15,0.6934977670031593,0.99899036518125,4.643410437198209,0.00023219066621974903,4
65,PRUNED,0.5895207872037276,,1100,0.01239839274457369,59,7,0.7960876606737879,0.9139464641225017,1.7293559563180487,0.023058300752968126,8
66,PRUNED,0.5737595102069125,,1800,0.014917319344863563,54,10,0.517126122809455,0.8412334358365766,0.22949682876903438,4.213904050948984e-05,8
67,COMPLETE,0.4945589949915485,0.0648487573147667,1500,0.00955587006011832,50,9,0.7600474648763357,0.9580798836627349,0.12831953121822434,0.0014399706663096392,7
68,PRUNED,0.5799236952367655,,1700,0.07025637093681653,8,13,0.5716992792584117,0.9829307879357668,0.6922286837557302,1.6267685398710846e-06,3
69,PRUNED,0.5759660346958242,,2000,0.017832047096402775,42,6,0.5463900546674718,0.9277465007721452,0.02444147883877236,0.0035910021393366007,8
70,PRUNED,0.6130131222030893,,2300,0.010442482721581216,46,28,0.6026737948054725,0.9716355423760903,2.3683248838302156,2.4970760067994115e-05,6
71,PRUNED,0.5263238227438676,,600,0.013948177156219257,37,11,0.7876276950502686,0.981284196842772,0.7013504887998474,1.3870975601146906e-05,8
72,COMPLETE,0.4859245445523597,0.06768629569287167,600,0.014898761049553007,38,9,0.7634617007572129,0.9537303161159936,0.8394793111776053,7.513299597178623e-05,8
73,PRUNED,0.5819281763974335,,500,0.012760931355285573,39,8,0.8160012087703659,0.9491627035723795,1.2236401220889455,6.472866412930784e-05,8
74,PRUNED,0.583008160079009,,800,0.015659863765525917,28,6,0.7618334009947617,0.899441698245549,0.31326369264479864,0.00015747342510787822,8
75,PRUNED,0.5595060386331105,,900,0.008312360537058703,33,14,0.7392730296494314,0.5855807171218932,1.7707535685434308,0.0005149465251604368,8
76,PRUNED,0.5752785252110065,,1400,0.019454040446679373,35,18,0.8535795729821242,0.6909612400934553,0.8601423452840418,2.8641011410602307e-05,8
77,PRUNED,0.628723086198414,,1600,0.022642064517922455,44,31,0.7072903742169299,0.9370877843655584,0.46382203418515255,6.693685400623017e-06,8
78,PRUNED,0.5633802492277397,,1200,0.011401119144211708,30,5,0.6796222451210099,0.9998280320187836,4.012175282990259,0.00010355104285131512,5
79,PRUNED,0.5569887560356235,,600,0.016796775220898293,15,9,0.5319077211045085,0.9614079832348907,0.0801582278762026,0.0003299964185914042,4
80,PRUNED,0.5912371003202637,,1300,0.0191723056099494,41,7,0.5001261376239741,0.9161230480742164,0.003346853831168891,6.195272716398119,8
81,PRUNED,0.5237860732675488,,600,0.015007855538254311,37,10,0.7697063923167882,0.98257369995214,0.8985202912528628,1.393337138724787e-05,8
82,PRUNED,0.5229536475076734,,700,0.014022780526742102,38,11,0.8099280205006332,0.9722534676745106,0.37942475456325764,2.3080883189377986e-06,8
83,PRUNED,0.5250203032626998,,500,0.012899321929403075,36,8,0.7501034770817762,0.9481889740788597,0.18523174387579444,7.390327305572548e-05,8
84,PRUNED,0.5949001630526103,,800,0.01019218733002639,43,6,0.7869971663150329,0.9859090915295189,0.5800046925749837,2.9329634668155995e-05,8
85,PRUNED,0.5762860585172734,,1000,0.011999070583292002,40,12,0.7724798228807668,0.9626001880430971,1.5640195879557701,9.019094301513426e-06,10
86,PRUNED,0.5768987739547297,,900,0.014611662719664072,33,10,0.5620507982144531,0.8908544473011097,0.0010100012944954618,3.8549069008210096e-05,-1
87,PRUNED,0.5762977472757689,,700,0.016671720717979115,36,15,0.5922698483082193,0.9283522473722179,0.29979069986418233,8.256964046941505e-07,8
88,PRUNED,0.5801407771286267,,2100,0.01070938246479846,38,13,0.7196434281671004,0.9881144521504075,3.0514909643997674,0.0002449904597622259,7
89,PRUNED,0.6903624332236586,,600,0.01314417229217738,46,49,0.8006029804497423,0.8710789762767452,0.8664128212876115,0.0006509966024331119,6
90,PRUNED,0.5747695617320275,,2700,0.02828214170569145,56,8,0.5783615345266386,0.9051568244872759,6.616804677701661,0.00868943320830758,8
91,PRUNED,0.5857901549720749,,1900,0.020258017104098424,44,6,0.6475659261521204,0.9408102043668863,0.6450889832238248,8.820172402906803e-05,8
92,PRUNED,0.6027686186978174,,2000,0.02320396270198422,42,5,0.6334580605888435,0.9689344311574651,1.2216845527739728,6.260911782207871e-05,8
93,PRUNED,0.5822883790610482,,2300,0.021984996894398798,45,7,0.7404231115057649,0.9543899146161818,0.40136311938757185,0.00017038798163636953,8
94,COMPLETE,0.4922050162224382,0.06142391431518226,1800,0.018113873665182172,40,9,0.6094741251104299,0.8030584617002093,0.5170837005203969,1.6578608588446388e-05,8
95,PRUNED,0.524631436341611,,2200,0.02573646405370225,7,8,0.9995534801234836,0.9224756417280561,1.9702702299913903,4.221231852978039e-06,3
96,PRUNED,0.5860067324472347,,1500,0.0387928157659493,48,11,0.6354725062442492,0.8496594367812939,0.009179343769087144,0.00011505967587089163,8
97,PRUNED,0.5808311381886835,,1700,0.015531366195611664,38,6,0.7312778646909216,0.9735742341019449,0.14952391477977098,0.0010537078503471229,8
98,PRUNED,0.5809314896490989,,1600,0.021470519616962162,35,10,0.8237832224453682,0.9894772199657017,1.3473108718430702,0.0003742492380844945,6
