trial,state,value,duration_seconds,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature
34,COMPLETE,0.4735079134095275,4.295243,300,6,0.0188676037371205,0.48503614583273974,0.007599318739255856,3.532165171777332
35,COMPLETE,0.48538660795379857,20.585243,500,7,0.04226699962049182,1.8950206836385468,0.01761799239842615,4.32275184634352
36,COMPLETE,0.4559002958198592,3.31821,400,5,0.017495913670109244,3.727403702301744,0.001087248488946477,1.7372900186970262
37,COMPLETE,0.42977342424667175,4.014342,300,6,0.014962958575204962,0.14949640211268747,0.004855725082552806,4.812550289635847
38,COMPLETE,0.42538596231920683,0.801143,100,4,0.011851126110345233,0.04463295331088454,0.0020801864782593214,2.5553538065614996
39,COMPLETE,0.4881919369717263,11.471301,400,7,0.05782794652095852,0.8492843584689866,0.10923296139368094,4.005295435140917
40,COMPLETE,0.4691253760817243,2.364934,100,7,0.07937695409944691,0.4992186554812815,0.2784012768173327,4.056649046476579
41,COMPLETE,0.48010610267441384,9.591101,400,7,0.09864713786493971,0.8932421539404567,0.09658999634755205,3.3016653915995713
42,COMPLETE,0.46160836792775234,9.520277,400,7,0.05837966688516139,0.3720048259729471,0.05875682055761767,3.8725091146273
43,COMPLETE,0.46718862039384956,3.772304,300,6,0.05127707139543978,1.7252244775540844,0.14492639705028096,3.50396439470441
44,COMPLETE,0.4826986472630357,9.246119,400,7,0.06500420178182331,7.008361970254153,0.6307350053155769,3.1009890640906894
45,COMPLETE,0.46828726338669263,6.568239,500,6,0.024926793975868253,2.8751121203819587,0.04017483165419939,4.291304207639987
46,COMPLETE,0.4570681313840579,9.448213,400,7,0.034830466402509044,20.035495309845594,1.1897120371295438,4.959782326816243
47,COMPLETE,0.47755509654581685,2.797997,600,4,0.04232269078654562,0.8541091457613275,0.014539099714796444,2.7715918174939924
48,COMPLETE,0.4459366785761469,2.458473,200,6,0.027452886256764824,0.11903871106669851,0.38500681386404484,1.9410396956188953
49,COMPLETE,0.4331021502162295,2.202384,100,7,0.02022943592513512,0.2559671847007819,0.04131543631822237,2.3153854421330946
