trial,state,value,duration_seconds,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
12,COMPLETE,0.5302473649286625,21.776634,200,6,0.03143172177774311,0.9179093618532793,1.0476380123651652,0.909715249450374,0.26561682030063294,0.0618100437890281,"[0.4280783199518241, 0.5558175995078991, 0.5755084190922569, 0.4936167860159773, 0.5982157000753553]"
13,COMPLETE,0.5404692905574063,20.581683,200,6,0.08487196521368172,0.13507034699002474,0.07495849797769727,0.8507918710899274,0.2766717796311724,0.06387688370106892,"[0.4308360064386841, 0.5935899772443113, 0.6064167682469314, 0.5116019154420398, 0.5599017854150653]"
14,COMPLETE,0.5448695864141331,11.193294,200,5,0.08554989030733136,0.15558033107528305,0.05718135549754608,1.2223106424793704,0.27888494203353714,0.07385811695749366,"[0.4178854302817343, 0.6040923353837412, 0.5841198178809667, 0.5057595811408103, 0.6124907673834127]"
15,PRUNED,0.4695111164655231,4.365692,200,5,0.09032983942957597,0.0916981930195774,0.006250077694816278,1.2276651939628234,,,
16,PRUNED,0.4150984669566266,1.731621,100,5,0.08771179821431493,0.010617615204813195,0.045046017246530755,3.2561396552114963,,,
17,PRUNED,0.4694723993049779,8.496762,500,5,0.0674619018025925,10.375298798805138,0.005927567417927272,1.8047506514817147,,,
18,PRUNED,0.48041948699433856,11.548597,300,6,0.04310371788442307,1.6984240371048371,1.5346439219996886,0.7532466105955951,,,
19,PRUNED,0.4676245028227529,3.875154,200,5,0.11208416451607132,0.32672118820524015,0.04202159825625846,1.3228379420686083,,,
20,PRUNED,0.4651768151029073,63.123564,500,7,0.06919404428074188,6.178072143115345,0.15020797864158547,2.194566786520726,,,
21,PRUNED,0.4378259760715757,7.56445,200,6,0.09171770715604649,0.12997508262811233,0.09869788136098483,0.7801350279290782,,,
22,PRUNED,0.4679804752977452,8.497929,200,6,0.07655507759540683,0.17390135050509742,0.05606377421961276,0.5541267582675744,,,
23,PRUNED,0.48649266156255877,7.301095,300,5,0.10826529298805819,0.08271281798693192,0.00677113664055251,1.3614551918831692,,,
24,COMPLETE,0.5404763126167655,17.101201,100,7,0.14824414361920507,0.01958508052399687,0.0358231973868499,1.0093882479636551,0.27602488773690703,0.02704272619460399,"[0.507059616963568, 0.5666929489872404, 0.5740990471697148, 0.5136086492278952, 0.5409213007354089]"
25,COMPLETE,0.5522491247648775,16.168874,100,7,0.1484745325530142,0.010224000363052866,0.017549505033960668,0.4731623145566803,0.28291473378665105,0.07368835649762144,"[0.41334207330454314, 0.621699338656124, 0.5591693915364785, 0.5608451051869077, 0.6061897151403343]"
26,PRUNED,0.4810830522984948,6.671182,100,7,0.05637844935502477,0.010020487479534847,0.0023561711719811496,0.46754574509017355,,,
27,PRUNED,0.44021317486235545,6.759403,100,7,0.12273857354351203,1.1448752527203978,0.011733586713908456,3.0752828768053835,,,
28,PRUNED,0.5181590438876912,16.566882,300,6,0.14951587737769179,0.44203118216347337,0.025357609028413792,0.49495026028450806,,,
29,PRUNED,0.40171746378921813,6.779205,100,7,0.03715082428424279,3.3918115577785013,0.0032814277140514212,2.0557848522084603,,,
30,PRUNED,0.46156406011327844,13.451381,200,7,0.044303963921484564,0.019168159325220518,0.0011417622534468667,1.5358898674542742,,,
31,COMPLETE,0.5333797860159243,35.276451,100,7,0.104142110111846,0.019264725531920338,0.0316308934659599,1.117656032957217,0.26739995807971106,0.04760237574744698,"[0.46257473628502543, 0.5688587004540429, 0.5982666106190083, 0.5042710558344526, 0.5329278268870922]"
32,PRUNED,0.48087960157958576,7.780959,100,7,0.14677050775185888,0.018616159194406054,0.009406385542835344,1.0296074578330796,,,
33,COMPLETE,0.5473391196243877,15.581781,100,7,0.12141422189159178,0.06171595882108146,0.13982554420001905,0.4162157499614303,0.28362765874772145,0.07951382075085917,"[0.4125635810191071, 0.6176325878087717, 0.5754493245917182, 0.5061323715955641, 0.6249177331067776]"
34,PRUNED,0.489214156954316,18.467361,200,7,0.10000078692544422,0.044750668449425,0.13221477876821175,0.3728823261922901,,,
35,COMPLETE,0.5483106713952305,64.104126,100,7,0.12526048505916393,0.059118757124996375,0.01761799239842615,0.020754078297867407,0.2829955982420248,0.052085332246460184,"[0.46696225097085153, 0.6043207151885656, 0.5181104870732537, 0.5500472641945112, 0.6021126395489701]"
36,COMPLETE,0.539036205474934,17.098676,100,7,0.12500957133622276,0.06634912623406479,0.024580693687130416,0.02742252618892172,0.27320905031081305,0.04547879029846397,"[0.4611338363523109, 0.5894952127772459, 0.5728490916667929, 0.5190717739059059, 0.5526311126724145]"
