trial,state,value,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha
34,PRUNED,0.5345303817187057,6,1500,0.02522006592715133,29,9,0.7052683347209053,0.9941038046692562,0.02784163200462517,0.0003754260857996987
35,PRUNED,0.5364770059399941,6,1200,0.05395967211926162,21,14,0.776199593029753,0.9185208680677744,0.8612252555264205,0.0012053258081890991
36,PRUNED,0.6539029178078083,4,1600,0.007699100289364042,13,39,0.5354375788058972,0.9566053852830582,0.07675157959852749,8.488721530833803e-05
37,COMPLETE,0.5316634330045863,6,700,0.03455413337184951,24,22,0.9261216792331302,0.5940285303325549,0.16455505640618198,2.2193410293544703e-06
38,COMPLETE,0.5256149898973657,4,2100,0.07896148658383727,13,8,0.6303902450545226,0.797129146488525,0.036790229162141086,0.00026082297267412876
39,COMPLETE,0.524549222255441,4,2300,0.11142653279550968,13,8,0.6351818831181492,0.7852703230566147,0.38905149954471446,3.459382475030168e-05
40,PRUNED,0.551719705773386,4,300,0.09277343571553465,12,12,0.547298419892698,0.4008700070756522,0.5298416651575448,3.1161275243114035e-05
41,COMPLETE,0.5455373478827428,7,2300,0.1299738746357485,20,8,0.6284556751737773,0.7967962744649703,0.036246484693881635,0.0004880655642720853
42,PRUNED,0.6024980745151391,4,2500,0.07639070212084555,13,52,0.669832105187694,0.7701932401687949,1.6752870179856119,9.547206737298636e-07
43,COMPLETE,0.5345995475252345,4,2200,0.10517504951995708,14,8,0.5957202956591533,0.4871323286029642,0.20738628086320354,0.00017425646540460943
44,PRUNED,0.5553988020251073,4,2400,0.0742780791464145,10,13,0.6362551458174945,0.7105183819491885,0.43935198545719517,5.418569037180333e-05
45,COMPLETE,0.5345055803514301,4,2100,0.12300957197130985,14,7,0.6180436827848905,0.6138966068652942,0.026235896830397728,1.3367778521835937e-05
46,COMPLETE,0.5541127555772588,4,2200,0.16830860030956898,14,10,0.6511802517557572,0.7460849221019038,0.0688997167451959,0.00025674581948606024
47,COMPLETE,0.5470641751394547,7,2000,0.09242038066846808,27,16,0.7663902633915962,0.8329859807126653,0.28185456415481874,6.936263091125023e-06
48,PRUNED,0.5486972308983122,6,400,0.06421532416088176,19,20,0.5843520693954664,0.8924178621047472,0.018402798895043544,1.3580191628087827e-07
49,PRUNED,0.5374433410932368,10,1800,0.030127903016011197,32,12,0.6830413194410082,0.6834577263551501,0.036755908323990234,0.000903827582740674
