trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
40,PRUNED,0.5037531922229647,2.493285,4,400,0.053906104240698055,8,25,0.9191883414777885,0.8463589916681149,3.4291845504108165e-08,7.013479701782196,,,
41,COMPLETE,0.5547371704211319,4.620713,3,500,0.03262215605697826,7,25,0.9655126309661224,0.9701770498421747,4.489360185673334e-06,0.001631618258018062,0.2876543863522583,0.0666146672256073,"[0.43190324463774016, 0.6110480289006262, 0.5920883204513668, 0.6017875292106131, 0.5368587289053134]"
42,PRUNED,0.47006576118690013,1.88912,3,500,0.04421425443895105,7,14,0.9540656774028112,0.944622551823793,1.1642300447895962e-06,0.0010878927893534709,,,
43,PRUNED,0.528164494514307,3.075226,3,600,0.0391422452259338,7,36,0.9806247721227871,0.9971509633507085,2.1554573257786344e-05,0.004686669622412504,,,
44,COMPLETE,0.5647951050270716,4.556971,3,500,0.08374229809674955,7,25,0.9466197473884277,0.9170127916703679,7.77291760985046e-08,0.0017803366942932602,0.2939450447641979,0.06321684603078183,"[0.47461883177477865, 0.6214757601504188, 0.5794512808993872, 0.638422011906061, 0.5100076404047127]"
45,PRUNED,0.5114840286570638,1.764134,3,500,0.08157109416949603,7,30,0.946526136596007,0.9077894946894818,8.857016913862186e-08,0.003906700194347015,,,
46,PRUNED,0.49631876029751665,4.015243,6,600,0.07091564366726859,19,47,0.9065241761184414,0.9265859468655402,1.2518085080800555e-08,0.0020298684042728103,,,
47,PRUNED,0.49674681903383566,1.383184,3,400,0.12301585127974647,7,41,0.6509128840721621,0.8865312318540718,6.584005933073462e-07,0.018830424221787607,,,
48,PRUNED,0.5330788022093773,1.894436,3,400,0.09460572972432219,7,34,0.8707075467647747,0.7875369103381291,1.377646548409248e-07,0.00699471139610507,,,
49,PRUNED,0.4653852780971187,2.733626,8,500,0.06793472042566927,15,29,0.8283826855157987,0.5448716166703309,4.959195564620951e-08,0.0017608978723659902,,,
