trial,state,value,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha
23,COMPLETE,0.4229719904832006,10,1200,0.046796203368943176,59,8,0.7377436803611591,0.8969170059105289,0.00876329224621462,3.530801628208728
24,COMPLETE,0.42848358158649685,-1,700,0.02148985700152427,40,29,0.6646883059938098,0.9300232834666234,0.08366597663905309,0.03752098853437646
25,PRUNED,0.3801313447725927,-1,1000,0.045166263289294385,51,14,0.8364173367413742,0.8407000720229255,0.0033946312808847,4.929654095562339
26,COMPLETE,0.4172511590486316,10,1500,0.022459563337232584,41,19,0.7465049747414252,0.7252772202318978,0.01377698097047078,0.31560333220669895
27,PRUNED,0.3881481706625209,-1,1800,0.0238914481799118,41,19,0.5824131016865502,0.7172963793620503,0.014056719536159742,0.0008327424286040348
28,COMPLETE,0.4356094587515429,5,2500,0.008847853250852307,30,38,0.7210473090667658,0.7841149464549494,0.0025769536028627015,0.2851239554769524
29,PRUNED,0.39571921938226234,3,1400,0.038255773230069075,7,27,0.941094383334205,0.5943635094556617,0.0067859961838106836,8.324670261317186e-05
30,COMPLETE,0.42020193838902864,6,1600,0.013568686144569424,36,18,0.6640228977842015,0.7112319742835452,0.019095804609415373,2.5598491265815707e-08
31,PRUNED,0.40663689664128394,10,1200,0.01816818679238908,59,9,0.7733406600807567,0.8718202973703103,0.17410266533636873,0.022738530399567344
32,PRUNED,0.39641167937584953,10,1500,0.024689974213640383,51,5,0.7835901103601796,0.812583732505443,0.04117254204236437,0.5617317057905205
33,PRUNED,0.38551274648042655,10,1300,0.015716876007624975,59,13,0.8164269402604403,0.9267046454535909,0.8682676484605233,0.1873691979638001
34,PRUNED,0.3904892930716986,4,300,0.034996993045664386,12,23,0.7358811497992217,0.7591678600122329,0.0076918566757526174,2.508372253559134
35,PRUNED,0.44929453862629837,10,700,0.01069222886354663,44,15,0.8618481102330499,0.8219334834988773,0.002071666171872278,8.886598992183771
36,PRUNED,0.38664449619058744,7,1000,0.020276191384361077,51,8,0.695825904521368,0.7712854308898142,0.4454082773838844,0.10729142182709087
37,PRUNED,0.40100430998573044,8,2200,0.028184764222680687,36,21,0.7703486163961861,0.6180919079467572,0.07581262133149838,0.0018145288412831128
38,PRUNED,0.4293446213224873,4,400,0.01176943037942547,14,11,0.7412076227320664,0.9531362756176487,0.026493071675183704,0.014543850215402335
39,COMPLETE,0.41908005081408994,-1,1300,0.01485887987684339,57,25,0.908568636051456,0.735507135622842,0.009993946100553501,3.4478817366640936e-06
40,COMPLETE,0.42727772101115225,-1,1300,0.00869655084226706,60,33,0.9031990086797412,0.6775295019054995,0.0043380903127269,1.3466703197483955e-05
41,PRUNED,0.3904530780143962,-1,1500,0.01382020827394102,55,17,0.9323437255508266,0.7344820729983877,0.010897620225969021,2.2803244691895754e-06
42,PRUNED,0.3921205757109828,-1,1100,0.026627137976043533,52,26,0.9862845659408341,0.6910711808277561,0.03734950446190931,0.0001627238517897692
43,COMPLETE,0.4253990197272941,7,900,0.015580680054879701,48,20,0.8549965020225505,0.9972343857271945,0.0017999337072067557,1.5399607105084771e-06
