ID,化学式,电导率（S/cm）,制备方式,family
exp_100,Li9.54(Si0.7Ge0.3)1.74P1.44S11.1Br0.3O0.6,0.0135,unknow,lgps
exp_101,Li9.54(Si0.6Ge0.4)1.74P1.44S11.1Br0.3O0.6,0.0136,unknow,lgps
exp_102,Li9.54(Si0.5Ge0.5)1.74P1.44S11.1Br0.3O0.6,0.0138,unknow,lgps
exp_103,Li9.54(Si0.4Ge0.6)1.74P1.44S11.1Br0.3O0.6,0.0127,unknow,lgps
exp_104,Li9.54(Si0.3Ge0.7)1.74P1.44S11.1Br0.3O0.6,0.0111,unknow,lgps
exp_105,Li9.54(Si0.2Ge0.8)1.74P1.44S11.1Br0.3O0.6,0.0079,unknow,lgps
exp_106,Li9.54(Si0.1Ge0.9)1.74P1.44S11.1Br0.3O0.6,0.0054,unknow,lgps
exp_107,Li9.54Ge1.74P1.44S11.1Br0.3O0.6,0.0041,unknow,lgps
exp_108,Li9.54(Si0.9Sn0.1)1.74P1.44S11.1Br0.3O0.6,0.0115,unknow,lgps
exp_109,Li9.54(Si0.8Sn0.2)1.74P1.44S11.1Br0.3O0.6,0.0088,unknow,lgps
exp_110,Li9.54(Si0.7Sn0.3)1.74P1.44S11.1Br0.3O0.6,0.0077,unknow,lgps
exp_111,Li9.54(Si0.6Sn0.4)1.74P1.44S11.1Br0.3O0.6,0.0067,unknow,lgps
exp_112,Li9.54(Si0.5Sn0.5)1.74P1.44S11.1Br0.3O0.6,0.0049,unknow,lgps
exp_113,Li9.54(Si0.4Sn0.6)1.74P1.44S11.1Br0.3O0.6,0.0045,unknow,lgps
hal_001,Li4ZrCl4O2,0.0015,球磨,halides
hal_002,Li2.25Zr0.75In0.25Cl6,0.00037,球磨,halides
hal_003,Li2.4Zr0.8Zn0.2Cl6,0.0003,球磨,halides
hal_004,Li2ZrCl5Br,8.9e-05,球磨,halides
hal_005,Li2.4Zr0.7In0.2Zn0.1Cl6,0.00031,球磨,halides
hal_006,Li2.9Zr0.2Y0.5In0.2Zn0.1Cl6,0.00018,球磨,halides
hal_007,Li2.7Zr0.4Y0.3In0.2Zn0.1Cl6,0.00028,球磨,halides
hal_008,Li2.5Y0.5Zr0.5Cl6,0.00074,球磨,halides
hal_009,Li2.5Y0.5Zr0.5Cl6 + 5wt%ZrCl4,0.0013,固相,halides
hal_010,Li2.5Y0.5Zr0.5Cl5.5Br0.5 + 5wt%ZrCl4,0.0014,固相,halides
hal_011,Li2.5Y0.5Zr0.5Cl5Br + 5wt%ZrCl4,0.0011,固相,halides
hal_012,Li2.5Y0.5Zr0.5Cl4.5Br1.5 + 5wt%ZrCl4,0.0011,固相,halides
hal_013,Li2.9Y0.9Zr0.1Cl4.5Br1.5 + 5wt%ZrCl4,0.0015,固相,halides
hal_014,Li2.8Y0.8Zr0.2Cl4.5Br1.5 + 5wt%ZrCl4,0.0016,固相,halides
hal_015,Li2.7Y0.7Zr0.3Cl4.5Br1.5 + 5wt%ZrCl4,0.0016,固相,halides
hal_016,Li2.6Y0.6Zr0.4Cl4.5Br1.5 + 5wt%ZrCl4,0.0015,固相,halides
hal_017,Li2.7Y0.7Zr0.3Cl5.5Br0.5 + 5wt%ZrCl4,0.0016,固相,halides
hal_018,Li3.15Y0.75Zr0.05Zn0.2Cl6 + 5wt%ZrCl4,2e-05,固相,halides
