trial,state,mae_mean,mae_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_max_depth
26,COMPLETE,0.738875173950189,0.19594791293821595,2200,0.020883140134888664,17,26,0.830050770407726,0.7975691275962492,0.161649599642754,0.02294456086547126,-1
27,COMPLETE,0.738875173950189,0.19594791293821598,2900,0.04032999310946586,7,13,0.6087837332948649,0.6652684916323831,0.6251431193937717,0.5271304260115397,3
28,PRUNED,0.7650166807878904,,1900,0.00852530358121631,11,9,0.7630361940216338,0.8946775171276822,2.053067877096959,9.293718635563583e-05,5
29,COMPLETE,0.738875173950189,0.19594791293821595,2600,0.13226140689111276,7,15,0.5323504069334724,0.533072923300117,0.005367350252744369,1.537100673506734e-06,3
30,COMPLETE,0.738875173950189,0.19594791293821595,2000,0.038733845825716394,37,36,0.6593089478745102,0.47386560505124053,11.546928700439011,4.061180520608047,6
31,COMPLETE,0.738875173950189,0.19594791293821595,2600,0.022369231632820195,13,13,0.5638703556678736,0.9990980125296525,0.34773968679661693,0.021683320618528065,-1
32,COMPLETE,0.7293691420751639,0.200267129867415,2700,0.025366514275181228,19,9,0.5919920779781951,0.9335403474950604,0.27930637466460895,0.009157338215607125,-1
33,COMPLETE,0.7312559465056048,0.20240909778638613,2800,0.012223903244223457,21,8,0.6100568072759897,0.4049926360941576,0.03902912909061654,0.2525632206069341,-1
34,PRUNED,0.7648888609826363,,2400,0.012091082201145586,24,7,0.6413069283526545,0.42690960220598495,0.03854108530908408,0.20093823410722544,-1
35,COMPLETE,0.5813183380309026,0.1071871063160778,2800,0.08724629117833926,10,5,0.6024084629469227,0.40763306445395114,0.018847021973449132,0.013453991233792434,4
36,COMPLETE,0.544544845715761,0.09902160102041281,2900,0.0797267430895366,9,5,0.7944485046846261,0.40256151497902426,0.012944794827694643,0.0013267566202348645,4
37,COMPLETE,0.56068062182388,0.09415427205608998,3000,0.08266383730166849,9,5,0.8346394111275062,0.402441539451348,0.011992507510529545,0.0020070384894015783,4
38,COMPLETE,0.5308839576775688,0.0899100345691159,3000,0.0837202097331433,9,5,0.8116514297913232,0.46436433658735066,0.012606779496430107,0.0022736111481566,4
39,COMPLETE,0.5376646700974357,0.10031390120629097,3000,0.08333352845900913,9,5,0.8188223517047096,0.46341919376288404,0.015042122358228941,0.0011961503445451348,4
40,COMPLETE,0.5292821969330411,0.09673247641963144,3000,0.08447609220075171,9,5,0.8340141875903644,0.46151187696593915,0.009659676047464484,0.001213296670802408,4
41,COMPLETE,0.5423971867554493,0.10997278079741879,3000,0.08532124523764456,9,5,0.8131946293721851,0.4674561709264027,0.010380159676741088,0.0011066421329167873,4
42,PRUNED,0.769450181603084,,2900,0.0667313073477965,9,8,0.7984564944067274,0.4631723755092014,0.0029633052163062653,0.0007142635801950822,4
43,COMPLETE,0.738875173950189,0.19594791293821595,3000,0.10362829852042223,8,52,0.8688655630344942,0.48093622553939547,0.008462086523458097,7.74583219803478e-05,4
44,COMPLETE,0.5455310833096135,0.11569382490317856,2900,0.07635487705575335,9,5,0.8048168203290762,0.44140083538106584,0.002773478695307336,0.0007086268767444449,4
45,COMPLETE,0.49920276173421296,0.10660905654209674,2900,0.15549099593770055,10,9,0.9103226934960518,0.5598643310727343,0.018002452640300416,0.0002358479116178021,4
46,COMPLETE,0.738875173950189,0.19594791293821595,2800,0.15017564731989583,10,18,0.9304515385864465,0.5756253319744484,0.018635115075796283,0.0002580033422649293,4
47,COMPLETE,0.7417623196447579,0.20047516679527858,1000,0.19854139931338893,8,15,0.868040241655061,0.5053470697654868,0.0023823639922846257,0.004252471635681862,4
48,COMPLETE,0.5424733706245709,0.08155240855168515,3000,0.10446981507072407,15,8,0.8960421097461895,0.548020229961025,0.0074113165123717295,0.05360463410350794,7
49,COMPLETE,0.738875173950189,0.19594791293821595,2700,0.05792804857869105,10,40,0.9528320099615898,0.45585370550684384,0.030038090819772448,6.505870312137366e-05,4
50,COMPLETE,0.7028618311280498,0.15398266948075004,2900,0.11594980972555716,15,10,0.8528811665666942,0.4970487500444346,0.05675060335947622,0.00018912424071162908,8
51,COMPLETE,0.5488556628077196,0.08844127858667239,3000,0.1058080724573198,15,8,0.8982751871883887,0.5445721430611856,0.00942271619680568,0.08010516757538844,7
52,COMPLETE,0.5138073295094746,0.07129853726992305,3000,0.1475416037803173,12,7,0.9068507351328009,0.5709491624722033,0.0044335491239393034,0.0007392390245684657,7
53,COMPLETE,0.7362943779573736,0.20784241905173526,2800,0.14995917790773874,13,13,0.8207553892711629,0.5751030500433696,0.00463643281249711,0.0005610843054177142,7
54,COMPLETE,0.528298669144563,0.0783856899007907,2800,0.13023111129468698,8,7,0.955030481333211,0.4838522756218447,0.001851268660606833,3.122079199984576e-05,4
55,PRUNED,0.7655588713412969,,2800,0.124931944751124,8,10,0.9120943634081831,0.6096467286505294,0.0019405051243863937,1.21256128722743e-05,4
