trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda
10,COMPLETE,0.4624155375742651,3.490212,600,7,0.02300787305719081,0.5342518154571322,0.8010124870699186,0.7606165441675251,0.0006361091866784225,0.004137630881036838,0.0015089361959238195
11,COMPLETE,0.4536570726310329,1.120877,300,9,0.10587366386835911,2.1255930716584266,0.7737425087025646,0.6712579968688783,2.592432654039176e-08,0.0029151336209232927,0.3558690246963665
12,COMPLETE,0.38284012194222533,0.40548,200,6,0.07335143234600645,19.68221514573185,0.8347950917285415,0.6372424866412404,4.693442540456119e-07,0.030481984452501533,0.03186669690019679
13,COMPLETE,0.42714071842885687,0.740476,300,8,0.023751211508521938,7.411971811207148,0.74059240956546,0.7484483315394533,8.893523844554016e-06,0.00017511633240713473,0.8737151548232008
14,COMPLETE,0.4860403744076161,1.597139,400,4,0.026808772999328285,0.5060578241060232,0.9840998651516015,0.8256139655211496,0.00549189287620983,0.10954097777408596,0.00255169558276884
15,COMPLETE,0.4494762451944622,2.172795,400,4,0.022829643553136703,0.5206853334788992,0.980131567798612,0.8449184992167584,0.009005705947110492,0.0003814022941193448,0.001634981960351659
16,COMPLETE,0.48373511262138624,1.891504,600,4,0.031087531050235366,1.0030408786438125,0.8642396983313834,0.8369549572902053,0.15264600471522916,0.03488853762413075,0.0055216290745342955
17,COMPLETE,0.46906191776720024,1.80897,600,4,0.02981522862927498,1.301865066179095,0.9826487299543262,0.8979387218009911,0.14400975147930345,0.0040141204457656565,0.058982875281612314
18,COMPLETE,0.4911492623147253,1.980051,600,4,0.0164279671863374,0.6722255996362692,0.879401393134675,0.9503443816823587,0.16208568142221844,0.0001402154720337061,0.0031218637991524837
19,COMPLETE,0.47481057534301546,3.666422,500,6,0.015774793943922352,0.6533265045739638,0.9325680398061603,0.9972030805588601,0.011993955851351214,3.402688525414959e-05,0.002535279509823409
20,COMPLETE,0.45035804121443435,1.702736,500,3,0.017611233089349705,1.6030757639922613,0.8794756121236054,0.9421316555466676,0.0008269219045735356,1.2722974438529015e-08,28.154943282136486
21,COMPLETE,0.45733600215659714,1.468712,600,4,0.026995728638446716,0.7725479159378579,0.857689908728555,0.8092478147474824,0.4268304786017716,0.03308281360914,0.0041225904514630984
22,COMPLETE,0.47260150862498557,2.217781,600,4,0.03295914857183632,1.072044212972485,0.9617737968854703,0.9136460361701461,0.04792713697090382,0.000789075624437922,0.001163641944965414
23,COMPLETE,0.46905483918171315,1.577281,600,3,0.01731763502224811,0.5349426739812388,0.8366849379399733,0.8118865380213904,0.2695627045394726,0.015234156733056621,0.026502383048338327
24,COMPLETE,0.4290034512530645,0.836396,500,4,0.019164871883754195,1.1455782878053733,0.8945566884780383,0.9499051320886555,0.8975382667140628,4.963553049763913e-05,0.00469152844729854
25,COMPLETE,0.4775082687341703,1.596608,600,6,0.03579085189490853,0.6988153473618225,0.9496095293449183,0.7981174394395426,0.030726036570027045,0.17758076555404467,0.013028375639233147
26,COMPLETE,0.4997390758750948,2.252589,500,5,0.013294815295567978,1.8357124206824604,0.8036214075862931,0.8753908023618278,0.0020920128423188326,1.8814966136269393e-06,0.003354211956504916
27,COMPLETE,0.48822625233608163,1.917273,500,5,0.014033265647004045,2.2950065759709104,0.7822891244685319,0.8852061436123979,0.002421776348379139,2.103290673514129e-07,0.07216408606991905
28,COMPLETE,0.4873658904756723,1.843066,500,5,0.010042613214009209,2.578108840209628,0.7931690448511529,0.8851731569656496,0.0010574080902174114,4.3851024198225943e-07,0.1035004412892442
29,COMPLETE,0.4860140302618534,2.271992,500,6,0.015716083684116092,1.728389099011489,0.764005891399817,0.9469761325090789,8.938421127196849e-05,4.340221409179373e-07,1.1444200327279195
30,COMPLETE,0.4556005914033281,1.528339,500,7,0.014621024072226893,5.478309164033704,0.8251867852889606,0.9211605668714543,0.0003253339212767989,1.6878069774005167e-08,0.020396755759170042
31,COMPLETE,0.4737606997737414,2.044234,500,5,0.010710794176345859,3.109241047074756,0.8057749064203078,0.861345189807546,0.001496104958067032,5.90946779262432e-07,0.08934892902157685
32,COMPLETE,0.4829625252826857,2.105939,500,5,0.01342347522125488,2.5055623622226353,0.7869596770495999,0.8835930439867442,0.003100479822342325,4.35173553846924e-06,0.05653935320533708
33,COMPLETE,0.479501395678464,2.277069,600,5,0.010381105853557882,3.1954655721925898,0.706650830165781,0.9647256675523246,0.0001132469850299091,8.661749851899955e-08,0.25196189704387734
34,COMPLETE,0.4927967680731902,2.530726,500,6,0.010091342076544926,2.0883808026964537,0.7650723155381586,0.8896439300659693,0.023809361406551773,1.7713986279637657e-05,0.8098323755036548
35,COMPLETE,0.488673051096556,1.944555,400,6,0.019987514679339177,1.9439805518584337,0.7539532747558516,0.7788133671612726,0.021946424189090322,1.6682439837286527e-05,1.8999100312679325
36,COMPLETE,0.4769291968994475,2.429119,400,8,0.019601747728031426,1.9572613325175148,0.7487702449822932,0.7193877764119023,0.01827291707172112,1.630330926122675e-05,1.359422754265965
37,COMPLETE,0.4646478557672813,2.025735,400,6,0.012272568119163035,1.3090738856659303,0.7006370428783895,0.7695477140685243,0.08318820939852886,1.6391342768915171e-06,2.2145811472986536
38,COMPLETE,0.4298125641252781,0.798227,400,7,0.020888339866830925,3.6108573795392975,0.7542270498867664,0.723320823820642,0.7954222450385663,1.4465526508559554e-05,0.6105236330057633
39,COMPLETE,0.39461584565491764,0.649501,400,6,0.016624428537861283,4.436252477363611,0.6388303087511908,0.9707526397120817,2.6797923561250108,7.570995350228128e-05,2.47563652586497
40,COMPLETE,0.3944229810028499,1.506828,300,7,0.012351927737166552,1.4834305792368714,0.7181287914864241,0.7825084398002722,0.021939431620845055,7.513119380520106e-06,20.624221386931698
41,COMPLETE,0.493991084508022,2.073732,500,5,0.01420667014106393,2.024061905081326,0.8202668076882332,0.9092174769653479,0.0026299445432861127,1.283253540693297e-06,0.4636223925697447
42,COMPLETE,0.48951220404499524,1.712463,400,5,0.013302372972193882,1.9866092602282208,0.8180216859499253,0.9276783870366023,0.007237642407910553,1.7297382991946611e-06,0.5114113028266883
43,COMPLETE,0.4899040743377716,1.956174,500,5,0.011658856089207883,2.7544459995696013,0.8070618955023668,0.9134007373190118,0.00034024987533891934,1.0507349582633545e-06,0.21540139253632937
44,COMPLETE,0.47637679846332537,1.747951,500,3,0.011682820352786956,2.9276975957623588,0.85351877885463,0.9037934402176934,0.00034972768435404726,4.693955030692913e-08,0.21671474150059206
45,COMPLETE,0.44568659149319495,1.626977,500,4,0.14737565016630944,5.462977724324133,0.8900058510962631,0.983598644350887,3.083695945626359e-05,8.056547891894034e-07,0.3707351803002167
46,COMPLETE,0.4556005914033281,2.447969,600,5,0.010035609024041787,4.290191625247191,0.8140383397371705,0.8648800129172114,1.920240153192002e-06,0.00017410347894786327,0.7083843179509937
47,COMPLETE,0.4873960153651422,3.429159,500,6,0.014750813182083164,0.9210973215540774,0.8522979433888591,0.9296385654344484,0.00017525369999035596,6.371556452966286e-06,0.16240592942820828
48,COMPLETE,0.38308149361915617,2.232316,600,5,0.05202169544451177,13.253656445448083,0.7719999089010099,0.8621886673416412,0.0005361697545756145,0.0009179002818616684,0.29794574430405596
49,COMPLETE,0.43854095171558116,1.116909,500,4,0.11367734319990742,3.656268297255509,0.8375120102001075,0.6154432499594399,5.335653359036964e-05,2.0167651944411513e-06,0.011456107141775343
