trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
17,COMPLETE,0.5064795298367791,15.93653,600,8,0.017448771999166116,0.6031673303201881,0.7722932369224723,0.7877472183417089,0.005366165201773841,9.89503798689999e-06,0.003155961680729145,0.25846329543402013,0.08314940411074218,"[0.3485080968352892, 0.5219533286458099, 0.5954978272529979, 0.5300232695777519, 0.5364151268720466]"
18,PRUNED,0.38821299411716126,2.368149,500,6,0.0164279671863374,0.8735383226531168,0.8416634198004798,0.67455198366465,0.25545631704852906,6.479872737032061e-08,0.026590047028150002,,,
19,PRUNED,0.47568690629063975,7.941077,600,9,0.02961917019736433,1.2466616832428916,0.9684933103566042,0.9276965001645907,0.009748124713507894,0.00048152640054449717,0.6021063699168034,,,
20,PRUNED,0.45963445321272706,2.509684,200,6,0.10247280756222547,2.053802045050592,0.9964575306809536,0.8112237352551197,1.826030512200829e-06,0.020480029958667774,28.154943282136486,,,
21,PRUNED,0.4786473254047137,8.40472,600,7,0.022948198787907725,0.5576877375535522,0.8096183749033755,0.7213998654491844,0.0006007028033154222,0.0008753026592394723,0.0010948743699928805,,,
22,PRUNED,0.4810482512927187,10.757959,600,8,0.022071806295967274,0.7018765459278955,0.7813984672082105,0.6247169050806954,0.0015313884447880773,3.788149574288919e-05,0.003175137318762452,,,
23,COMPLETE,0.5039475823300015,24.919648,500,7,0.034952158855032195,0.5349426739812388,0.8344457970525605,0.7227505122657045,0.00014891519430521534,0.001699625224811521,0.0013948554223410668,0.2591357601823958,0.08019368637912816,"[0.355145908599753, 0.5485898153581958, 0.5917684068649308, 0.5027815492419799, 0.5214522315851474]"
24,PRUNED,0.4305593485602286,11.051924,600,9,0.014875237308978637,1.1446063648421132,0.8925937463844544,0.8211338116630436,0.011877895921738093,0.02080508876046038,0.005318965819653348,,,
25,PRUNED,0.3998737062272987,3.859254,500,6,0.02078868936146163,0.708369979970224,0.7611502038291372,0.7736354663341992,0.30971985604023283,3.733016835407741e-07,0.0010096120234335468,,,
26,COMPLETE,0.5155697123625231,34.474478,600,8,0.026165044025216737,0.5042870643371425,0.8165973900050099,0.8964282435490526,0.0005928209192819565,3.4583660256551104e-05,0.012449777711585869,0.2657971398047921,0.08465854419111427,"[0.35077618447160797, 0.5505730759521864, 0.5934475910367245, 0.5370094108243286, 0.5460422995277683]"
27,COMPLETE,0.5137637459950966,17.9849,500,8,0.028962355161273167,0.9868343268125789,0.8678213414918033,0.900439249909138,2.250381328545713e-05,2.909879574466094e-05,0.01438263157409733,0.2641105303422203,0.08223563376439867,"[0.35044639765934466, 0.5672508293515224, 0.5562972653470147, 0.5372497692949592, 0.5575744683226419]"
28,PRUNED,0.48871476281492304,10.288239,600,10,0.04589552961659759,0.7237743906264893,0.7130493668956291,0.9864762324651651,0.02600522043003574,1.0757872248887298e-06,0.08532883237778198,,,
29,PRUNED,0.48356232724397624,5.923861,300,9,0.026361824815860555,1.5815590015410073,0.8212556906654268,0.8823111980687628,1.6909396795445362e-07,1.2391844377699225e-08,0.0024886092949374075,,,
