trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
14,COMPLETE,0.47681705987964423,0.899956,5,500,0.0165151438239233,16,39,0.6144950752479589,0.6640062117696326,0.004633011838829146,3.329394141304123
15,COMPLETE,0.2098436139120088,0.325734,4,600,0.04285614978404616,12,36,0.706761500830221,0.5619751967033758,9.701625115449042,0.07868423141706701
16,COMPLETE,0.46910759475416713,0.813677,4,500,0.08099809739025919,10,52,0.8244610772028625,0.5004967866053724,3.154443500139822e-05,2.97482955301834
17,COMPLETE,0.48829380914491055,0.672492,4,400,0.03208122418549757,14,44,0.918350977440793,0.8268548079220718,0.5228497023937205,0.3845761318768472
18,COMPLETE,0.4815601667876124,0.515445,10,300,0.03255107259045936,47,27,0.930746924386335,0.8365356818651842,0.9286764871064505,0.3485704605810484
19,COMPLETE,0.45704830499077453,2.115061,-1,400,0.05311089173005661,55,42,0.8912678286238411,0.8390414875439615,0.0006663629429236805,0.2716769031794577
20,COMPLETE,0.45487638064783525,0.672693,5,200,0.08638503481393066,16,60,0.9911221861327684,0.8972276294870267,0.03072655608644479,0.057363509435266684
21,COMPLETE,0.47950219116107684,1.309224,4,600,0.014483401067968525,14,46,0.8874958133168993,0.7222858021371232,0.24322687739677934,3.8196759065098265
22,COMPLETE,0.4672348584729898,0.932501,4,500,0.025230709320841496,14,53,0.9404052868155786,0.5799495785690351,0.27186457143449094,0.4214625696143691
23,COMPLETE,0.44742654267676873,0.362869,4,300,0.04171960775141062,14,34,0.7946987992804931,0.6153475246272422,2.2301008741801613,1.4563640075633553
24,COMPLETE,0.4653149926679631,0.943767,4,400,0.01567669772363047,15,47,0.8658452477859441,0.7862206904284446,0.040381538599646646,6.779923565943445
25,COMPLETE,0.46257665233658224,1.263496,4,600,0.10596531534007578,12,56,0.7319482374166856,0.7012000322254772,0.006814318736682913,0.5374797449792406
26,COMPLETE,0.4787022322701757,1.164252,4,500,0.06169739045961293,13,43,0.6444229449434495,0.905899677938026,7.87701300552545e-05,1.8666433624756866
27,COMPLETE,0.46567571337745656,0.989794,4,600,0.03136305119314159,15,50,0.7761945861836954,0.5392661283932232,0.23169992742254028,0.06516031534152687
28,COMPLETE,0.5121274800310078,0.24776,-1,200,0.1478322719366605,26,55,0.8258748333894088,0.6308736882392775,4.639501171890094,0.2154382630114369
29,COMPLETE,0.47220167699245014,0.84531,-1,200,0.1415658139935525,27,57,0.9691557573464816,0.6315429897043812,1.1614088660604258e-06,0.0056820014432322945
30,COMPLETE,0.4108117564686989,0.27428,3,200,0.09435693804319986,7,37,0.820637578903432,0.864386678222921,3.3459167788917963,0.14661972504977094
31,COMPLETE,0.46993463305290195,0.573395,-1,400,0.1219168792779796,21,55,0.9103090071614132,0.9505923034310026,0.46701873302377633,0.7236350322573002
32,COMPLETE,0.47107703236631376,0.363948,-1,300,0.051988072376210046,28,49,0.9562465089065567,0.7896899147413657,4.241599262244626,28.513716765594104
33,COMPLETE,0.4810039570821015,0.717534,5,300,0.020537048344494033,18,45,0.8720596991437388,0.5462682744848301,0.0970167935825073,0.24517513867711174
34,COMPLETE,0.4899597730204384,0.434563,10,200,0.06886786749017604,33,17,0.8276155831677042,0.636360808564345,0.658876402232555,0.03632023872720822
