trial,state,value,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha
15,COMPLETE,0.5218858194694692,-1,1000,0.020862244860531353,39,12,0.8034060745027055,0.779590747337984,0.0011827223934645777,0.005850758383392538
16,COMPLETE,0.5098073736036433,5,1700,0.06094081339180363,15,5,0.571344938997578,0.9927779632219429,0.09235461274876476,0.8580630149018186
17,PRUNED,0.527812660168692,5,1900,0.05021236735584221,16,5,0.5663565302114575,0.9601931701502678,1.4188526151728582,1.1387520468884227
18,COMPLETE,0.5227716239824838,5,1700,0.12244231952268958,12,11,0.6885751438324427,0.6265276323551009,0.14624277329692567,0.005478746334124282
19,PRUNED,0.6163084956781902,10,2100,0.13257499192633426,21,34,0.5768595852746605,0.725546392327622,0.09223451954356109,13.560968558786552
20,COMPLETE,0.5251403915149717,6,1600,0.06710106793837857,33,14,0.6988253157652793,0.5975251787271464,12.672727054857997,0.7520455136612657
21,PRUNED,0.535265297230463,3,1300,0.04350466307005206,8,5,0.5781738851205295,0.8835325688858513,0.008466927923047174,0.0482448338159316
22,PRUNED,0.5428130776766544,8,2100,0.021345655478101647,55,16,0.7531048726191083,0.8227564916396732,0.007946262225080478,0.012097746294013086
23,PRUNED,0.5488593656810801,5,800,0.05116431737244454,14,27,0.8426996954973791,0.9429643686890427,0.016768020043645325,1.6435618127885099
24,PRUNED,0.5654792071736403,-1,1200,0.10633886328379204,22,9,0.6574656946284804,0.9885561354930383,0.06868070881473132,0.3374187080179303
25,PRUNED,0.5293881122114317,8,1700,0.03560349671701261,38,17,0.7452202904452782,0.9196771925974745,0.5986420841422649,0.0005508209140535153
26,PRUNED,0.5359000231901283,-1,2100,0.08316379360225296,43,25,0.9638926609686315,0.8580814184694151,0.003234227947803084,0.022203246958215298
27,PRUNED,0.5520042339554906,5,700,0.1575756163373923,10,9,0.545691285647558,0.7488819157432359,0.12929097576509316,0.12589649784845214
28,PRUNED,0.5687260859607517,10,1500,0.013107577430090408,29,22,0.6033857689024922,0.8319775246201986,0.31723090285398364,0.0024150964770909143
29,PRUNED,0.5381932121330733,3,2500,0.06295651278165587,7,15,0.5007424692781851,0.6737298272481553,0.014029970367316819,6.907237870241734e-05
30,PRUNED,0.5723069756896407,6,1700,0.026791485175486768,19,36,0.9308496998890188,0.49913724951323746,0.04058653504470168,3.5465457654279944
31,COMPLETE,0.5213366963546056,-1,800,0.02193365564955226,61,9,0.8417120201263478,0.9990980125296525,0.0026213587025518035,0.2793193131512074
32,PRUNED,0.6925792943681005,-1,1000,0.015584343128197349,56,12,0.7510230289488433,0.9225605297675724,0.003398617108965361,19.866559028435226
33,PRUNED,0.5634122156714523,-1,300,0.007581841691281768,57,8,0.6686376040687214,0.8577388967046305,0.0016972155233576068,0.47478235278059244
34,PRUNED,0.5556800918016281,4,700,0.034996993045664386,11,19,0.7249879031846211,0.7746344944146841,0.0042933214242171095,2.9503789200921555
35,PRUNED,0.5427010630787227,-1,500,0.015456537998182222,52,13,0.7788133671612726,0.802601731756183,0.007155850403691464,0.0954022203069826
