trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
40,PRUNED,0.46369976091984116,1.905027,8,300,0.07967388411804847,55,27,0.652137256248596,0.7736571427460628,0.00038499919599516906,2.1103614284570145,,,
41,COMPLETE,0.5650082916572842,6.232895,-1,300,0.11911110017406173,44,5,0.6197845112000898,0.6263884832917674,2.6224850033913806e-08,9.117642669593739,0.2891873397509358,0.06310102676987696,"[0.46156744617739864, 0.5926501736139266, 0.648735355338364, 0.5875297769387582, 0.5345587062179734]"
42,COMPLETE,0.5429406292652864,5.753821,-1,300,0.11729101230955513,42,5,0.6232431746706799,0.6290721664962209,3.086052463987144e-08,17.809779486753506,0.2807106887559053,0.055009127269407924,"[0.44934552562680136, 0.5644707917865298, 0.617476827102558, 0.5548908029001186, 0.5285191989104239]"
43,PRUNED,0.4809030603915726,0.838589,4,200,0.12448775325367406,15,8,0.6664869722871235,0.5976044686414955,1.2283153859002334e-07,7.567215870050323,,,
44,PRUNED,0.5364635125385023,3.44599,-1,300,0.09812790453951674,49,11,0.6097830675053065,0.5721341607920298,2.471041221992953e-08,3.0253002274770644,,,
45,PRUNED,0.4296130324425581,1.712374,-1,300,0.015567111457587083,23,7,0.6337508737447982,0.6486256914034164,0.08541013810328799,13.11987546092694,,,
46,PRUNED,0.49289968728871847,1.119864,-1,300,0.11195570970407667,59,60,0.6464167518684613,0.6896681129105267,1.1428958593842078e-06,18.982991799259434,,,
47,PRUNED,0.46921279271277594,1.44902,6,200,0.14919613689618266,34,10,0.6019456869740952,0.7547392312717394,1.0476727083171534e-08,2.634006831465742,,,
48,PRUNED,0.47512278730106183,1.748771,-1,300,0.0736901717938095,47,21,0.6819088845294644,0.6142914816186514,4.50573038087741e-08,6.689399957432198,,,
49,PRUNED,0.44092228242040155,0.880345,4,200,0.09227115319146197,14,14,0.6259123029612597,0.6689452906409592,2.7043655937433746e-08,1.5684493738801255,,,
